agegroup,sex,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
<1   ,1,0.58,,,,0.38,,,,,,,,,,,,,,,
01-04,1,0.58,,,,0.38,,,,,,,,,,,,,,,
05-09,1,0.58,,,,0.38,,,,,,,,,,,,,,,
10-14,1,0.58,,,,0.38,,,,,,,,,,,,,,,
15-19,1,0.58,,,,0.38,,,,,,,,,,,,,,,
20-24,1,0.58,,,,0.38,,,,,,,,,,,,,,,
25-29,1,0.58,,,,0.38,,,,,,,,,,,,,,,
30-34,1,0.58,,,,0.38,,,,,,,,,,,,,,,
35-39,1,0.58,,,,0.38,,,,,,,,,,,,,,,
40-44,1,0.39,,,,0.16,,,,,,,,,,,,,,,
45-49,1,0.39,,,,0.16,,,,,,,,,,,,,,,
50-54,1,0.36,,,,0.12,,,,,,,,,,,,,,,
55-59,1,0.36,,,,0.12,,,,,,,,,,,,,,,
60-64,1,0.34,,,,0.11,,,,,,,,,,,,,,,
65-69,1,0.34,,,,0.11,,,,,,,,,,,,,,,
70-74,1,0.29,,,,0.08,,,,,,,,,,,,,,,
75-79,1,0.29,,,,0.08,,,,,,,,,,,,,,,
80-84,1,0.2,,,,0.05,,,,,,,,,,,,,,,
85+,1,0.2,,,,0.05,,,,,,,,,,,,,,,
<1   ,2,0.66,,,,0.45,,,,,,,,,,,,,,,
01-04,2,0.66,,,,0.45,,,,,,,,,,,,,,,
05-09,2,0.66,,,,0.45,,,,,,,,,,,,,,,
10-14,2,0.66,,,,0.45,,,,,,,,,,,,,,,
15-19,2,0.66,,,,0.45,,,,,,,,,,,,,,,
20-24,2,0.66,,,,0.45,,,,,,,,,,,,,,,
25-29,2,0.66,,,,0.45,,,,,,,,,,,,,,,
30-34,2,0.66,,,,0.45,,,,,,,,,,,,,,,
35-39,2,0.66,,,,0.45,,,,,,,,,,,,,,,
40-44,2,0.47,,,,0.21,,,,,,,,,,,,,,,
45-49,2,0.47,,,,0.21,,,,,,,,,,,,,,,
50-54,2,0.43,,,,0.17,,,,,,,,,,,,,,,
55-59,2,0.43,,,,0.17,,,,,,,,,,,,,,,
60-64,2,0.4,,,,0.14,,,,,,,,,,,,,,,
65-69,2,0.4,,,,0.14,,,,,,,,,,,,,,,
70-74,2,0.32,,,,0.11,,,,,,,,,,,,,,,
75-79,2,0.32,,,,0.11,,,,,,,,,,,,,,,
80-84,2,0.21,,,,0.05,,,,,,,,,,,,,,,
85+,2,0.21,,,,0.05,,,,,,,,,,,,,,,
