"agegroup","sex","Pe","se.Pe"
"05-09",1,0,0
"10-14",1,0,0
"15-19",1,0,0
"20-24",1,0.00686699078479475,0.00415683232792017
"25-29",1,0.00730847765298528,0.00426349988462742
"30-34",1,0.00898923004194423,0.00531406916760001
"35-39",1,0.0148529854515008,0.00555041296754485
"40-44",1,0.00855662500127617,0.0038190889153211
"45-49",1,0.037059372862737,0.00793250319378499
"50-54",1,0.0462529174446562,0.00942689556523318
"55-59",1,0.0751053711147839,0.0128740985731113
"60-64",1,0.0811412028816128,0.0116096260533133
"65-69",1,0.0897312569333657,0.0128950851236348
"70-74",1,0.0696481185297144,0.0127232767808139
"75-79",1,0.0914332444451793,0.0147430207993967
"80-84",1,0.0848045832021633,0.0157637980242022
"85+",1,0.0579801178839326,0.0138833496701499
"05-09",2,0,0
"10-14",2,0,0
"15-19",2,0,0
"20-24",2,0.0097388576062521,0.00490318947587694
"25-29",2,0.00685431893892677,0.00407052516805062
"30-34",2,0.00958342184416481,0.00427519513960522
"35-39",2,0.0132350893863052,0.00445638401669239
"40-44",2,0.0112148930109282,0.00404380489950555
"45-49",2,0.0126821582670324,0.00431971515278689
"50-54",2,0.0294861469756844,0.00700421869855084
"55-59",2,0.0426980234918457,0.00745934078052817
"60-64",2,0.0483421581373361,0.00814616516860683
"65-69",2,0.0744616100963547,0.0112681814825587
"70-74",2,0.0477238749145474,0.00928621913957507
"75-79",2,0.0578329705158535,0.0104116123555223
"80-84",2,0.0584169987846839,0.0120763954717334
"85+",2,0.0529566310568831,0.00977844001998538
