"agegroup","sex","diabete2","Pe.diagnosed","undiagnosed.diab","Pe.undiagnosed","Pe"
"<1   ","1","1",0,"1",NA,0
"01-04","1","1",0,"1",NA,0
"05-09","1","1",0,"1",NA,0
"10-14","1","1",0,"1",NA,0
"15-19","1","1",0.00686699078479475,"1",0,0.00686699078479475
"20-24","1","1",0.00730847765298528,"1",0,0.00730847765298528
"25-29","1","1",0.00898923004194423,"1",0,0.00898923004194423
"30-34","1","1",0.0148529854515008,"1",0,0.0148529854515008
"35-39","1","1",0.00855662500127617,"1",0,0.00855662500127617
"40-44","1","1",0.037059372862737,"1",0.00417049986840484,0.0412298727311418
"45-49","1","1",0.0462529174446562,"1",0.00981395537105502,0.0560668728157113
"50-54","1","1",0.0751053711147839,"1",0.0215748124007918,0.0966801835155758
"55-59","1","1",0.0811412028816128,"1",0.0187136468635261,0.0998548497451389
"60-64","1","1",0.0897312569333657,"1",0.026050785512546,0.115782042445912
"65-69","1","1",0.0696481185297144,"1",0.0123281711566781,0.0819762896863925
"70-74","1","1",0.0914332444451793,"1",0.0257450939970082,0.117178338442188
"75-79","1","1",0.0848045832021633,"1",0.0207417862437476,0.105546369445911
"80-84","1","1",0.0693456607789621,"1",0.0206550001363099,0.090000660915272
"85+","1","1",0.0371232554104096,"1",0.0504149946333171,0.0875382500437267
"<1   ","2","1",0,"1",NA,0
"01-04","2","1",0,"1",NA,0
"05-09","2","1",0,"1",NA,0
"10-14","2","1",0,"1",NA,0
"15-19","2","1",0.0097388576062521,"1",0,0.0097388576062521
"20-24","2","1",0.00685431893892677,"1",0,0.00685431893892677
"25-29","2","1",0.00958342184416481,"1",0,0.00958342184416481
"30-34","2","1",0.0132350893863052,"1",0,0.0132350893863052
"35-39","2","1",0.0112148930109282,"1",0.00230433650793264,0.0135192295188609
"40-44","2","1",0.0126821582670324,"1",0.00271873415598017,0.0154008924230126
"45-49","2","1",0.0294861469756844,"1",0.00148620045712976,0.0309723474328142
"50-54","2","1",0.0426980234918457,"1",0.016589642473284,0.0592876659651297
"55-59","2","1",0.048342158137336,"1",0.0187113665791849,0.0670535247165209
"60-64","2","1",0.0744616100963547,"1",0.0203598144786264,0.0948214245749811
"65-69","2","1",0.0477238749145474,"1",0.00544944936621621,0.0531733242807636
"70-74","2","1",0.0578329705158535,"1",0.00745936036888196,0.0652923308847354
"75-79","2","1",0.0584169987846839,"1",0.0121545839967514,0.0705715827814353
"80-84","2","1",0.0654020724200951,"1",0.00702978733495035,0.0724318597550454
"85+","2","1",0.0378339400811236,"1",0,0.0378339400811236
