"agegroup","sex","expsm","Pe"
"<1   ","1","1",0
"01-04","1","1",0
"05-09","1","1",0
"10-14","1","1",0.134911596200927
"15-19","1","1",0.469471728336022
"20-24","1","1",0.40027055418906
"25-29","1","1",0.3929532309936
"30-34","1","1",0.426602207414827
"35-39","1","1",0.341418599908849
"40-44","1","1",0.32117561081992
"45-49","1","1",0.348343826243957
"50-54","1","1",0.3116778388217
"55-59","1","1",0.324387251039113
"60-64","1","1",0.288588737738567
"65-69","1","1",0.294672107332166
"70-74","1","1",0.297497705428938
"75-79","1","1",0.202860882041662
"80-84","1","1",0.191538800502606
"85+","1","1",0.167045891372936
"<1   ","2","1",0
"01-04","2","1",0
"05-09","2","1",0
"10-14","2","1",0.140938194068954
"15-19","2","1",0.44571540992234
"20-24","2","1",0.45755088066122
"25-29","2","1",0.369094107987941
"30-34","2","1",0.297873975891466
"35-39","2","1",0.247483315861758
"40-44","2","1",0.237558479044851
"45-49","2","1",0.259785093436551
"50-54","2","1",0.275462317557553
"55-59","2","1",0.210313490093093
"60-64","2","1",0.193760611154462
"65-69","2","1",0.193068554892489
"70-74","2","1",0.222684432538224
"75-79","2","1",0.119476669798175
"80-84","2","1",0.111902312399065
"85+","2","1",0.13574577046743
